Date,Hour,Target
01/26/2020 ,21,30.65
01/26/2020 ,22,28.59
01/26/2020 ,23,26.68
01/26/2020 ,24,23.1
01/27/2020 ,1,20.22
01/27/2020 ,2,19.66
01/27/2020 ,3,19.66
01/27/2020 ,4,20.55
01/27/2020 ,5,21.84
01/27/2020 ,6,27.36
01/27/2020 ,7,38.15
01/27/2020 ,8,37.4
01/27/2020 ,9,27.16
01/27/2020 ,10,19.98
01/27/2020 ,11,19.84
01/27/2020 ,12,15.89
01/27/2020 ,13,17.26
01/27/2020 ,14,16
01/27/2020 ,15,17.47
01/27/2020 ,16,25.64
01/27/2020 ,17,31.18
01/27/2020 ,18,44.62
01/27/2020 ,19,42.42
01/27/2020 ,20,35.72
01/27/2020 ,21,32.72
01/27/2020 ,22,30.68
01/27/2020 ,23,28.45
01/27/2020 ,24,26.77
01/28/2020 ,1,22.55
01/28/2020 ,2,22.15
01/28/2020 ,3,20.76
01/28/2020 ,4,21.71
01/28/2020 ,5,22.4
01/28/2020 ,6,30.2
01/28/2020 ,7,40.91
01/28/2020 ,8,35.4
01/28/2020 ,9,28.86
01/28/2020 ,10,26.37
01/28/2020 ,11,22.73
01/28/2020 ,12,19.65
01/28/2020 ,13,18.44
01/28/2020 ,14,17.04
01/28/2020 ,15,18.27
01/28/2020 ,16,23.31
01/28/2020 ,17,28.75
01/28/2020 ,18,36.66
01/28/2020 ,19,36.27
01/28/2020 ,20,35.24
01/28/2020 ,21,33.61
01/28/2020 ,22,30.64
01/28/2020 ,23,27.09
01/28/2020 ,24,23.6
01/29/2020 ,1,19.28
01/29/2020 ,2,19.24
01/29/2020 ,3,18.84
01/29/2020 ,4,19.37
01/29/2020 ,5,20.62
01/29/2020 ,6,28.55
01/29/2020 ,7,39.4
01/29/2020 ,8,34.97
01/29/2020 ,9,28.23
01/29/2020 ,10,24.48
01/29/2020 ,11,20.15
01/29/2020 ,12,19.54
01/29/2020 ,13,16.64
01/29/2020 ,14,14.84
01/29/2020 ,15,16.95
01/29/2020 ,16,23.94
01/29/2020 ,17,30.83
01/29/2020 ,18,40
01/29/2020 ,19,40
01/29/2020 ,20,39.66
01/29/2020 ,21,35.77
01/29/2020 ,22,30.92
01/29/2020 ,23,28.86
01/29/2020 ,24,25.73
01/30/2020 ,1,25.29
01/30/2020 ,2,24.31
01/30/2020 ,3,23.87
01/30/2020 ,4,24.12
01/30/2020 ,5,26.96
01/30/2020 ,6,31.25
01/30/2020 ,7,41.59
01/30/2020 ,8,38.54
01/30/2020 ,9,29.24
01/30/2020 ,10,24.6
01/30/2020 ,11,22.47
01/30/2020 ,12,20.49
01/30/2020 ,13,18.39
01/30/2020 ,14,17.97
01/30/2020 ,15,21.03
01/30/2020 ,16,25.25
01/30/2020 ,17,31.87
01/30/2020 ,18,41.71
01/30/2020 ,19,41.8
01/30/2020 ,20,38.28
01/30/2020 ,21,33.27
01/30/2020 ,22,31.53
01/30/2020 ,23,28.36
01/30/2020 ,24,27.02
01/31/2020 ,1,26.36
01/31/2020 ,2,24.46
01/31/2020 ,3,24.05
01/31/2020 ,4,23.7
01/31/2020 ,5,24.56
01/31/2020 ,6,29.49
01/31/2020 ,7,37.94
01/31/2020 ,8,36.37
01/31/2020 ,9,28.57
01/31/2020 ,10,23.08
01/31/2020 ,11,20
01/31/2020 ,12,18.65
01/31/2020 ,13,16.01
01/31/2020 ,14,15.12
01/31/2020 ,15,17.9
01/31/2020 ,16,24.62
01/31/2020 ,17,30.71
01/31/2020 ,18,39.19
01/31/2020 ,19,39.6
01/31/2020 ,20,37.59
01/31/2020 ,21,33.26
01/31/2020 ,22,31.92
01/31/2020 ,23,27.48
01/31/2020 ,24,26.46
02/01/2020 ,1,26.56
02/01/2020 ,2,25.55
02/01/2020 ,3,23.68
02/01/2020 ,4,23.11
02/01/2020 ,5,22.59
02/01/2020 ,6,26.73
02/01/2020 ,7,33.92
02/01/2020 ,8,28.45
02/01/2020 ,9,19.75
02/01/2020 ,10,15.08
02/01/2020 ,11,13.66
02/01/2020 ,12,9.74
02/01/2020 ,13,10.36
02/01/2020 ,14,10.37
02/01/2020 ,15,12.58
02/01/2020 ,16,18.52
02/01/2020 ,17,28.77
02/01/2020 ,18,40.07
02/01/2020 ,19,42.74
02/01/2020 ,20,38.76
02/01/2020 ,21,36.02
02/01/2020 ,22,32.92
02/01/2020 ,23,29.34
02/01/2020 ,24,25.78
02/02/2020 ,1,28.41
02/02/2020 ,2,26.07
02/02/2020 ,3,25.95
02/02/2020 ,4,24.57
02/02/2020 ,5,25.82
02/02/2020 ,6,28.24
02/02/2020 ,7,31.09
02/02/2020 ,8,25.12
02/02/2020 ,9,18.58
02/02/2020 ,10,13.56
02/02/2020 ,11,8.3
02/02/2020 ,12,2.89
02/02/2020 ,13,0.16
02/02/2020 ,14,0
02/02/2020 ,15,0.66
02/02/2020 ,16,9.89
02/02/2020 ,17,19.42
02/02/2020 ,18,29.4
02/02/2020 ,19,33.16
02/02/2020 ,20,33.31
02/02/2020 ,21,33.28
02/02/2020 ,22,30.59
02/02/2020 ,23,28.16
02/02/2020 ,24,25.76
02/03/2020 ,1,27.32
02/03/2020 ,2,24.29
02/03/2020 ,3,23.32
02/03/2020 ,4,23.76
02/03/2020 ,5,25.1
02/03/2020 ,6,30.54
02/03/2020 ,7,39.02
02/03/2020 ,8,36.9
02/03/2020 ,9,29.52
02/03/2020 ,10,22.02
02/03/2020 ,11,20.33
02/03/2020 ,12,17.55
02/03/2020 ,13,17.56
02/03/2020 ,14,13.6
02/03/2020 ,15,14.01
02/03/2020 ,16,22.58
02/03/2020 ,17,29.03
02/03/2020 ,18,39.6
02/03/2020 ,19,41.5
02/03/2020 ,20,41.56
02/03/2020 ,21,38.17
02/03/2020 ,22,34.9
02/03/2020 ,23,31.03
02/03/2020 ,24,27.59
02/04/2020 ,1,27.61
02/04/2020 ,2,25.52
02/04/2020 ,3,25.05
02/04/2020 ,4,26.63
02/04/2020 ,5,29.33
02/04/2020 ,6,39.77
02/04/2020 ,7,48.26
02/04/2020 ,8,41.91
02/04/2020 ,9,29.79
02/04/2020 ,10,23.15
02/04/2020 ,11,21
02/04/2020 ,12,17.97
02/04/2020 ,13,14.28
02/04/2020 ,14,13.08
02/04/2020 ,15,16.17
02/04/2020 ,16,21.73
02/04/2020 ,17,32.61
02/04/2020 ,18,44.91
02/04/2020 ,19,46.8
02/04/2020 ,20,47.79
02/04/2020 ,21,43.03
02/04/2020 ,22,41.4
02/04/2020 ,23,34.68
02/04/2020 ,24,36.13
02/05/2020 ,1,28.32
02/05/2020 ,2,27.8
02/05/2020 ,3,27.58
02/05/2020 ,4,27.44
02/05/2020 ,5,27.76
02/05/2020 ,6,37.94
02/05/2020 ,7,47.24
02/05/2020 ,8,42.03
02/05/2020 ,9,37.05
02/05/2020 ,10,27.78
02/05/2020 ,11,23
02/05/2020 ,12,21.89
02/05/2020 ,13,18.22
02/05/2020 ,14,15.9
02/05/2020 ,15,17.79
02/05/2020 ,16,25.58
02/05/2020 ,17,30.3
02/05/2020 ,18,39.74
02/05/2020 ,19,40.78
02/05/2020 ,20,37.1
02/05/2020 ,21,36.34
02/05/2020 ,22,34.24
02/05/2020 ,23,32.42
02/05/2020 ,24,28.59
02/06/2020 ,1,26.45
02/06/2020 ,2,24.78
02/06/2020 ,3,23.92
02/06/2020 ,4,24.07
02/06/2020 ,5,25.79
02/06/2020 ,6,34.24
02/06/2020 ,7,41.57
02/06/2020 ,8,36.46
02/06/2020 ,9,29.16
02/06/2020 ,10,21.42
02/06/2020 ,11,20.93
02/06/2020 ,12,17.74
02/06/2020 ,13,15.69
02/06/2020 ,14,14.43
02/06/2020 ,15,14.95
02/06/2020 ,16,19.33
02/06/2020 ,17,29.82
02/06/2020 ,18,35.52
02/06/2020 ,19,39.24
02/06/2020 ,20,36.7
02/06/2020 ,21,34
02/06/2020 ,22,32.21
02/06/2020 ,23,27.6
02/06/2020 ,24,26.84
02/07/2020 ,1,25.61
02/07/2020 ,2,23.99
02/07/2020 ,3,22.9
02/07/2020 ,4,21.56
02/07/2020 ,5,23.26
02/07/2020 ,6,28.42
02/07/2020 ,7,40.53
02/07/2020 ,8,34.72
02/07/2020 ,9,27.18
02/07/2020 ,10,21.95
02/07/2020 ,11,20.68
02/07/2020 ,12,17.68
02/07/2020 ,13,16.15
02/07/2020 ,14,14.22
02/07/2020 ,15,15.21
02/07/2020 ,16,21.95
02/07/2020 ,17,28.04
02/07/2020 ,18,35.06
02/07/2020 ,19,39.03
02/07/2020 ,20,35.85
02/07/2020 ,21,32.37
02/07/2020 ,22,31.19
02/07/2020 ,23,27.84
